2018-01-10 17:28:39.7204 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 6 

2018-01-10 17:28:39.7204 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | space found  6 

2018-01-10 17:28:39.7384 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | add user  'Infom' 

2018-01-10 17:28:39.7384 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 7 

2018-01-10 17:28:39.7384 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | at found  7 

2018-01-10 17:28:39.7514 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 8 

2018-01-10 17:28:39.7514 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 9 

2018-01-10 17:28:39.7514 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 10 

2018-01-10 17:28:39.7674 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 11 

2018-01-10 17:28:39.7940 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 12 

2018-01-10 17:28:39.7990 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 13 

2018-01-10 17:28:39.7990 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | space found  13 

2018-01-10 17:28:39.7990 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | add user  'Boris' 

2018-01-10 17:28:39.7990 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | Количество пользователей to 2 Сам пользователь True 

2018-01-10 17:29:32.6719 | Telegram.Request.TelegramRequest.GetUpdates | DEBUG | New message event 

2018-01-10 17:29:32.6819 | DeeBeeTeeAlphaBot.Program.Tr_MessageText | DEBUG | New message: message_id:318 user_id:2730927 chat_id:2730927 username:Infom name: Ruslan Kasimov date: 1515594572 message:'/t @Infom 400 @Boris @Infom  @SergeiAf' 

2018-01-10 17:29:32.6909 | DeeBeeTeeAlphaBot.Program.Tr_MessageText | INFO | Получение команды /t 

2018-01-10 17:29:32.6909 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Начала парсинга транзакции в строке '@Infom 400 @Boris @Infom  @SergeiAf' 

2018-01-10 17:29:32.7089 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Пользователь from 'Infom' 

2018-01-10 17:29:32.7089 | DeeBeeTeeDB.DBAPI.Command_transaction | DEBUG | Сумма '400' 

2018-01-10 17:29:32.7194 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | Search in '@Boris @Infom  @SergeiAf ' 

2018-01-10 17:29:32.7194 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 0 

2018-01-10 17:29:32.7194 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | at found  0 

2018-01-10 17:29:32.7194 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 1 

2018-01-10 17:29:32.7385 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 2 

2018-01-10 17:29:32.7385 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 3 

2018-01-10 17:29:32.7385 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 4 

2018-01-10 17:29:32.7535 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 5 

2018-01-10 17:29:32.7535 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 6 

2018-01-10 17:29:32.7535 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | space found  6 

2018-01-10 17:29:32.7665 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | add user  'Boris' 

2018-01-10 17:29:32.7665 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 7 

2018-01-10 17:29:32.7665 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | at found  7 

2018-01-10 17:29:32.7665 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 8 

2018-01-10 17:29:32.7835 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 9 

2018-01-10 17:29:32.7835 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 10 

2018-01-10 17:29:32.7835 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 11 

2018-01-10 17:29:32.7835 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 12 

2018-01-10 17:29:32.8001 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 13 

2018-01-10 17:29:32.8001 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | space found  13 

2018-01-10 17:29:32.8001 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | add user  'Infom' 

2018-01-10 17:29:32.8001 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 14 

2018-01-10 17:29:32.8165 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 15 

2018-01-10 17:29:32.8165 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | at found  15 

2018-01-10 17:29:32.8165 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 16 

2018-01-10 17:29:32.8165 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 17 

2018-01-10 17:29:32.8331 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 18 

2018-01-10 17:29:32.8331 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 19 

2018-01-10 17:29:32.8331 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 20 

2018-01-10 17:29:32.8466 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 21 

2018-01-10 17:29:32.8466 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 22 

2018-01-10 17:29:32.8466 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 23 

2018-01-10 17:29:32.8601 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | search 24 

2018-01-10 17:29:32.8601 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | space found  24 

2018-01-10 17:29:32.8601 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | add user  'SergeiAf' 

2018-01-10 17:29:32.8601 | DeeBeeTeeDB.DBAPI.Command_transaction | TRACE | Количество пользователей to 3 Сам пользователь True 

2018-01-10 17:29:42.7310 | Telegram.Request.TelegramRequest.GetUpdates | TRACE | HTTP request number 60 

